step,time,step time (ms)
4110,2016-02-11T00:57:53.609542,16.1209106445
4120,2016-02-11T00:57:53.812210,23.864030838
4130,2016-02-11T00:57:54.028348,16.8931484222
4140,2016-02-11T00:57:54.216393,19.6070671082
4150,2016-02-11T00:57:54.400186,16.7291164398
4160,2016-02-11T00:57:54.596367,17.0660018921
4170,2016-02-11T00:57:54.781120,20.6019878387
4180,2016-02-11T00:57:55.010954,17.501115799
4190,2016-02-11T00:57:55.204472,19.033908844
4200,2016-02-11T00:57:55.391374,17.9119110107
4210,2016-02-11T00:57:55.568761,16.294002533
4220,2016-02-11T00:57:55.756366,16.7851448059
4230,2016-02-11T00:57:55.939633,16.3340568542
4240,2016-02-11T00:57:56.123685,19.5240974426
4250,2016-02-11T00:57:56.306474,16.8669223785
4260,2016-02-11T00:57:56.498896,18.2738304138
4270,2016-02-11T00:57:56.687581,18.2740688324
4280,2016-02-11T00:57:56.936419,17.2729492188
4290,2016-02-11T00:57:57.125146,16.3798332214
4300,2016-02-11T00:57:57.311203,16.2618160248
4310,2016-02-11T00:57:57.509516,18.8450813293
4320,2016-02-11T00:57:57.696816,16.2909030914
4330,2016-02-11T00:57:57.965851,28.5911560059
4340,2016-02-11T00:57:58.240162,23.1218338013
4350,2016-02-11T00:57:58.449649,18.0568695068
4360,2016-02-11T00:57:58.635698,18.5749530792
4370,2016-02-11T00:57:58.827573,16.4768695831
4380,2016-02-11T00:57:59.035544,22.2589969635
4390,2016-02-11T00:57:59.217841,16.2220001221
4400,2016-02-11T00:57:59.979187,19.8168754578
4410,2016-02-11T00:58:00.202014,28.3801555634
4420,2016-02-11T00:58:00.393207,16.2699222565
4430,2016-02-11T00:58:00.583239,16.0448551178
4440,2016-02-11T00:58:00.769987,19.0699100494
4450,2016-02-11T00:58:00.957090,15.967130661
4460,2016-02-11T00:58:01.157531,17.6610946655
4470,2016-02-11T00:58:01.343917,17.0919895172
4480,2016-02-11T00:58:01.531538,17.1461105347
4490,2016-02-11T00:58:01.724274,19.3297863007
4500,2016-02-11T00:58:09.224455,20.1530456543
4510,2016-02-11T00:58:09.436628,18.3968544006
4520,2016-02-11T00:58:09.621163,16.3750648499
4530,2016-02-11T00:58:09.828249,31.7461490631
4540,2016-02-11T00:58:10.101706,25.9490013123
4550,2016-02-11T00:58:10.340337,22.4440097809
4560,2016-02-11T00:58:10.568747,23.6299037933
4570,2016-02-11T00:58:10.792568,23.3829021454
4580,2016-02-11T00:58:11.032312,21.625995636
4590,2016-02-11T00:58:11.278808,22.1199989319
4600,2016-02-11T00:58:11.508455,20.2660560608
4610,2016-02-11T00:58:11.766454,26.1268615723
4620,2016-02-11T00:58:12.030449,26.1378288269
4630,2016-02-11T00:58:12.265160,22.4328041077
4640,2016-02-11T00:58:12.508787,23.5209465027
