step,time,train logp
3430,2016-02-11T00:57:24.039441,-201.854232788
3440,2016-02-11T00:57:24.255573,-214.635787964
3450,2016-02-11T00:57:24.439864,-210.888824463
3460,2016-02-11T00:57:24.636158,-200.141387939
3470,2016-02-11T00:57:24.856236,-211.825012207
3480,2016-02-11T00:57:25.060193,-204.827819824
3490,2016-02-11T00:57:25.266420,-212.5443573
3500,2016-02-11T00:57:33.103711,-221.583587646
3510,2016-02-11T00:57:33.331373,-207.096466064
3520,2016-02-11T00:57:33.525310,-204.508224487
3530,2016-02-11T00:57:33.728401,-212.4271698
3540,2016-02-11T00:57:33.923167,-209.837799072
3550,2016-02-11T00:57:34.137240,-204.167984009
3560,2016-02-11T00:57:34.362997,-209.361831665
3570,2016-02-11T00:57:34.650934,-196.108551025
3580,2016-02-11T00:57:34.938936,-209.566101074
3590,2016-02-11T00:57:35.201557,-211.063262939
3600,2016-02-11T00:57:35.451698,-211.458694458
3610,2016-02-11T00:57:35.768872,-211.059616089
3620,2016-02-11T00:57:36.034447,-206.542892456
3630,2016-02-11T00:57:36.376750,-216.13192749
3640,2016-02-11T00:57:36.663562,-202.193267822
3650,2016-02-11T00:57:36.981894,-206.898101807
3660,2016-02-11T00:57:37.211252,-213.910873413
3670,2016-02-11T00:57:37.428002,-205.791229248
3680,2016-02-11T00:57:37.634491,-203.350448608
3690,2016-02-11T00:57:37.863888,-219.295501709
3700,2016-02-11T00:57:38.157441,-207.549057007
3710,2016-02-11T00:57:38.350515,-206.442749023
3720,2016-02-11T00:57:38.547428,-208.590148926
3730,2016-02-11T00:57:38.744901,-200.060882568
3740,2016-02-11T00:57:38.961562,-200.560043335
3750,2016-02-11T00:57:39.159099,-209.750427246
3760,2016-02-11T00:57:39.362011,-205.695617676
3770,2016-02-11T00:57:39.548585,-205.344223022
3780,2016-02-11T00:57:39.741736,-211.637557983
3790,2016-02-11T00:57:39.979357,-209.199157715
3800,2016-02-11T00:57:40.179727,-204.956665039
3810,2016-02-11T00:57:40.372807,-212.482025146
3820,2016-02-11T00:57:40.561079,-204.370834351
3830,2016-02-11T00:57:40.748855,-204.637207031
3840,2016-02-11T00:57:40.943441,-206.644546509
3850,2016-02-11T00:57:41.774174,-212.798965454
3860,2016-02-11T00:57:41.995760,-202.474258423
3870,2016-02-11T00:57:42.190633,-209.003753662
3880,2016-02-11T00:57:42.440139,-207.804473877
3890,2016-02-11T00:57:42.674999,-196.40423584
3900,2016-02-11T00:57:42.941421,-205.622756958
3910,2016-02-11T00:57:43.146949,-205.975952148
3920,2016-02-11T00:57:43.346940,-208.476364136
3930,2016-02-11T00:57:43.574982,-200.711242676
3940,2016-02-11T00:57:43.905104,-204.700942993
3950,2016-02-11T00:57:44.097731,-204.010437012
3960,2016-02-11T00:57:44.288420,-210.684036255
3970,2016-02-11T00:57:44.470647,-208.762466431
3980,2016-02-11T00:57:44.658686,-216.995513916
3990,2016-02-11T00:57:44.928204,-207.602416992
4000,2016-02-11T00:57:51.177314,-207.403305054
4010,2016-02-11T00:57:51.372924,-198.521774292
4020,2016-02-11T00:57:51.579172,-203.480163574
4030,2016-02-11T00:57:51.774911,-196.211486816
4040,2016-02-11T00:57:52.007556,-212.009719849
4050,2016-02-11T00:57:52.199940,-211.826049805
4060,2016-02-11T00:57:52.394831,-199.403533936
4070,2016-02-11T00:57:52.584731,-211.41519165
4080,2016-02-11T00:57:52.771573,-206.679962158
4090,2016-02-11T00:57:53.150559,-202.025390625
4100,2016-02-11T00:57:53.414884,-202.042922974
4110,2016-02-11T00:57:53.609512,-203.230194092
4120,2016-02-11T00:57:53.812141,-213.294876099
4130,2016-02-11T00:57:54.028322,-210.790512085
4140,2016-02-11T00:57:54.216371,-210.940078735
4150,2016-02-11T00:57:54.400158,-207.159439087
4160,2016-02-11T00:57:54.596334,-202.236236572
4170,2016-02-11T00:57:54.781091,-202.404296875
4180,2016-02-11T00:57:55.010885,-201.141174316
4190,2016-02-11T00:57:55.204436,-209.22505188
4200,2016-02-11T00:57:55.391347,-200.034851074
4210,2016-02-11T00:57:55.568728,-203.286087036
4220,2016-02-11T00:57:55.756339,-206.271133423
4230,2016-02-11T00:57:55.939604,-209.752075195
4240,2016-02-11T00:57:56.123649,-209.969299316
4250,2016-02-11T00:57:56.306452,-207.751159668
4260,2016-02-11T00:57:56.498861,-206.189468384
4270,2016-02-11T00:57:56.687558,-206.497909546
4280,2016-02-11T00:57:56.936351,-203.146392822
4290,2016-02-11T00:57:57.125117,-217.274810791
4300,2016-02-11T00:57:57.311172,-203.816665649
4310,2016-02-11T00:57:57.509487,-216.395019531
4320,2016-02-11T00:57:57.696772,-208.169387817
4330,2016-02-11T00:57:57.965816,-202.26625061
4340,2016-02-11T00:57:58.240138,-212.759460449
4350,2016-02-11T00:57:58.449622,-199.393859863
4360,2016-02-11T00:57:58.635666,-200.421737671
4370,2016-02-11T00:57:58.827545,-203.726379395
4380,2016-02-11T00:57:59.035470,-208.978988647
4390,2016-02-11T00:57:59.217819,-208.639312744
4400,2016-02-11T00:57:59.979159,-208.656188965
4410,2016-02-11T00:58:00.201987,-199.4737854
4420,2016-02-11T00:58:00.393178,-207.776367188
4430,2016-02-11T00:58:00.583210,-207.689239502
4440,2016-02-11T00:58:00.769958,-211.390014648
4450,2016-02-11T00:58:00.957068,-208.318664551
4460,2016-02-11T00:58:01.157508,-200.18510437
4470,2016-02-11T00:58:01.343894,-204.206634521
4480,2016-02-11T00:58:01.531468,-203.164962769
4490,2016-02-11T00:58:01.724245,-202.145507812
4500,2016-02-11T00:58:09.224432,-206.106567383
4510,2016-02-11T00:58:09.436601,-207.817337036
4520,2016-02-11T00:58:09.621139,-218.427246094
4530,2016-02-11T00:58:09.828215,-202.981887817
4540,2016-02-11T00:58:10.101666,-212.027069092
4550,2016-02-11T00:58:10.340308,-209.413833618
4560,2016-02-11T00:58:10.568711,-210.852844238
4570,2016-02-11T00:58:10.792526,-202.630004883
4580,2016-02-11T00:58:11.032219,-207.861526489
4590,2016-02-11T00:58:11.278779,-207.54095459
4600,2016-02-11T00:58:11.508428,-204.496276855
4610,2016-02-11T00:58:11.766420,-209.178421021
4620,2016-02-11T00:58:12.030422,-196.128051758
4630,2016-02-11T00:58:12.265130,-205.243148804
4640,2016-02-11T00:58:12.508761,-214.437362671
4650,2016-02-11T00:58:12.749719,-210.353286743
4660,2016-02-11T00:58:13.043252,-198.116958618
4670,2016-02-11T00:58:13.296846,-209.915344238
4680,2016-02-11T00:58:13.534247,-208.467010498
4690,2016-02-11T00:58:13.793557,-195.594650269
4700,2016-02-11T00:58:14.155963,-198.401641846
4710,2016-02-11T00:58:14.398472,-205.627853394
4720,2016-02-11T00:58:14.650848,-198.900878906
4730,2016-02-11T00:58:14.904907,-209.82220459
4740,2016-02-11T00:58:15.141047,-209.74798584
4750,2016-02-11T00:58:15.381853,-199.531265259
4760,2016-02-11T00:58:15.623105,-208.899902344
4770,2016-02-11T00:58:15.859000,-203.882873535
4780,2016-02-11T00:58:16.103263,-206.935317993
4790,2016-02-11T00:58:16.341408,-210.846481323
4800,2016-02-11T00:58:16.580323,-214.803588867
4810,2016-02-11T00:58:16.839808,-206.455841064
4820,2016-02-11T00:58:17.083972,-207.370117188
4830,2016-02-11T00:58:17.343534,-200.437591553
4840,2016-02-11T00:58:17.593545,-200.024475098
4850,2016-02-11T00:58:17.867295,-204.274551392
4860,2016-02-11T00:58:18.106462,-202.224456787
4870,2016-02-11T00:58:18.334952,-206.276809692
4880,2016-02-11T00:58:18.574132,-209.272750854
4890,2016-02-11T00:58:18.858825,-203.219085693
4900,2016-02-11T00:58:19.145102,-204.403381348
4910,2016-02-11T00:58:19.408703,-196.95954895
4920,2016-02-11T00:58:19.649849,-208.256912231
4930,2016-02-11T00:58:19.917743,-201.115844727
4940,2016-02-11T00:58:20.159747,-204.745254517
4950,2016-02-11T00:58:21.107226,-201.236419678
4960,2016-02-11T00:58:21.344560,-195.181915283
4970,2016-02-11T00:58:21.577971,-201.42364502
4980,2016-02-11T00:58:21.824076,-196.171508789
4990,2016-02-11T00:58:22.072046,-197.926757812
5000,2016-02-11T00:58:30.000042,-204.06451416
5010,2016-02-11T00:58:30.238886,-205.585739136
5020,2016-02-11T00:58:30.477233,-208.175552368
5030,2016-02-11T00:58:30.717194,-201.839309692
5040,2016-02-11T00:58:30.960797,-202.742553711
5050,2016-02-11T00:58:31.193712,-193.951751709
5060,2016-02-11T00:58:31.431255,-201.391601562
5070,2016-02-11T00:58:31.675313,-208.989730835
5080,2016-02-11T00:58:31.932462,-206.94593811
5090,2016-02-11T00:58:32.173725,-208.047973633
5100,2016-02-11T00:58:32.414928,-202.126251221
5110,2016-02-11T00:58:32.681964,-208.282531738
5120,2016-02-11T00:58:32.942059,-204.855072021
5130,2016-02-11T00:58:33.198941,-207.705780029
5140,2016-02-11T00:58:33.437037,-208.741363525
5150,2016-02-11T00:58:33.695877,-204.790084839
5160,2016-02-11T00:58:33.972877,-200.775192261
5170,2016-02-11T00:58:34.208823,-198.687408447
5180,2016-02-11T00:58:34.440086,-203.707382202
5190,2016-02-11T00:58:34.674373,-200.797409058
5200,2016-02-11T00:58:34.959598,-198.850494385
5210,2016-02-11T00:58:35.202286,-199.33404541
5220,2016-02-11T00:58:35.478525,-195.896347046
5230,2016-02-11T00:58:35.733313,-203.425231934
5240,2016-02-11T00:58:35.978777,-207.076248169
5250,2016-02-11T00:58:36.200308,-202.315628052
5260,2016-02-11T00:58:36.415696,-199.926681519
5270,2016-02-11T00:58:36.603456,-195.827301025
5280,2016-02-11T00:58:36.829709,-194.965545654
5290,2016-02-11T00:58:37.016218,-201.960876465
5300,2016-02-11T00:58:37.202841,-200.091995239
5310,2016-02-11T00:58:37.387777,-204.32510376
5320,2016-02-11T00:58:37.574823,-194.338500977
5330,2016-02-11T00:58:37.765592,-210.012832642
